"Name", "Stmts", "Miss", "Cover"
"gen_data_model/__init__.py", "9", "0", "100%"
"gen_data_model/core/__init__.py", "9", "0", "100%"
"gen_data_model/core/model/__init__.py", "9", "0", "100%"
"gen_data_model/core/model/model_setup.py", "14", "0", "100%"
"gen_data_model/core/service/__init__.py", "9", "0", "100%"
"gen_data_model/core/service/engine.py", "27", "0", "100%"
"gen_data_model/core/service/iservice.py", "14", "0", "100%"
"gen_data_model/core/service/isubprocessor.py", "14", "0", "100%"
"gen_data_model/engine.py", "57", "0", "100%"
"gen_data_model/infrastructure/__init__.py", "9", "0", "100%"
"gen_data_model/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_data_model/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_data_model/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_data_model/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_data_model/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_data_model/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_data_model/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_data_model/infrastructure/cli/setup/factory.py", "35", "0", "100%"
"gen_data_model/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_data_model/infrastructure/cli/setup/opt_validator.py", "34", "0", "100%"
"gen_data_model/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_data_model/infrastructure/cli/setup/registry.py", "30", "0", "100%"
"gen_data_model/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_data_model/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_data_model/infrastructure/command/command.py", "16", "0", "100%"
"gen_data_model/infrastructure/command/gen_model_command_definition.py", "24", "0", "100%"
"gen_data_model/infrastructure/command/gen_model_command_executor.py", "23", "0", "100%"
"gen_data_model/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_data_model/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"gen_data_model/infrastructure/subprocessor.py", "56", "0", "100%"
"gen_data_model/setup/__init__.py", "9", "0", "100%"
"gen_data_model/setup/bundle.py", "23", "0", "100%"
"gen_data_model/setup/dep_validator.py", "36", "0", "100%"
"gen_data_model/setup/dependencies.py", "19", "0", "100%"
"gen_data_model/setup/factory.py", "48", "0", "100%"
"gen_data_model/setup/keys.py", "27", "0", "100%"
"gen_data_model/setup/opt_validator.py", "34", "0", "100%"
"gen_data_model/setup/options.py", "12", "0", "100%"
"gen_data_model/setup/registry.py", "32", "0", "100%"
"gen_data_model/setup/validator.py", "48", "0", "100%"
"Total", "945", "0", "100%"
